"first_name","last_name","email","amount","age","course","complete","country","job_status"
"bob","brown","bob@gmail.com","100","56","Data Analyst","Yes","null","null"
"wood","woodley","wood@gmail.com","100","26","Data Analyst","Yes","null","null"
"chap","chapman","chap@gmail.com","150","32","Growth Marketing","No","null","null"
"kanye","west","kanye@gmail.com","50","42","Growth Marketing","No","null","null"
"alan","samuels","alan@gmail.com","100","28","Product Management","No","null","null"
"julia","briar","julia@hotmail.com","50","47","Data Analyst","No","null","null"
"henry","charles","herny@gmail.com","100","32","Growth Marketing","No","null","null"
"alan","samuels","alan@gmail.com","100","28","Product Management","No","null","null"
"julia","briar","julia@hotmail.com","50","47","Data Analyst","No","null","null"
"henry","charles","herny@gmail.com","100","32","Growth Marketing","No","null","null"
"alan","samuels","alan@gmail.com","100","28","Product Management","No","null","null"
"julia","briar","julia@hotmail.com","50","47","Data Analyst","No","null","null"
"henry","charles","herny@gmail.com","100","32","Growth Marketing","No","null","null"
